Type,Sample_id,participant,TOTAL_READS,PF_READS,READ_LENGTH,TOTAL_BASES,PF_BASES,Q20_BASES,PF_Q20_BASES,Q30_BASES,PF_Q30_BASES,Q20_EQUIVALENT_YIELD,PF_Q20_EQUIVALENT_YIELD
Tumor,295_DM,05BR005,195545292,195545292,144,28248545250,28248545250,28035261081,28035261081,27596800395,27596800395,41933371363,41933371363
Normal,295_DN,05BR005,221572008,221572008,144,32058441165,32058441165,31805368069,31805368069,31285706532,31285706532,47566322648,47566322648
Tumor,296_DM,05BR038,245632528,245632528,144,35519482027,35519482027,35291626190,35291626190,34765295251,34765295251,52781755837,52781755837
Normal,296_DN,05BR038,188042208,188042208,144,27180928916,27180928916,26999773235,26999773235,26595914823,26595914823,40383324321,40383324321
Tumor,297_DM,11BR049,245632528,245632528,144,35519482027,35519482027,35291626190,35291626190,34765295251,34765295251,52781755837,52781755837
Normal,297_DN,11BR049,224656332,224656332,144,32520322518,32520322518,32312946061,32312946061,31757862424,31757862424,48288188841,48288188841
Tumor,298_DM,11BR075,191914832,191914832,144,27731535691,27731535691,27537461319,27537461319,27120451182,27120451182,41187973194,41187973194
Normal,298_DN,11BR075,221240308,221240308,144,31972262540,31972262540,31754550360,31754550360,31263028984,31263028984,47487714469,47487714469
Tumor,29_DM,01BR025,167442874,167442874,131,21943061636,21943061636,21498521062,21498521062,20470358192,20470358192,31944007205,31944007205
Normal,29_DN,01BR025,190052150,190052150,130,24868445339,24868445339,24382569546,24382569546,23027787006,23027787006,36121015036,36121015036
Tumor,30_DM,01BR027,187143276,187143276,130,24421381581,24421381581,23974078166,23974078166,22758110966,22758110966,35562591074,35562591074
Normal,30_DN,01BR027,158200490,158200490,128,20309629856,20309629856,19902602244,19902602244,18895008915,18895008915,29541031637,29541031637
Tumor,327_DM,01BR040,189368006,189368006,139,26381558164,26381558164,26101996309,26101996309,25658666648,25658666648,39064726569,39064726569
Normal,327_DN,01BR040,198659680,198659680,138,27546231010,27546231010,27259719723,27259719723,26796571149,26796571149,40794171429,40794171429
Tumor,328_DM,01BR042,218669572,218669572,141,31041503034,31041503034,30782871875,30782871875,30245889340,30245889340,46027669199,46027669199
Normal,328_DN,01BR042,197232418,197232418,138,27398421639,27398421639,27090256693,27090256693,26612826170,26612826170,40544595557,40544595557
Tumor,329_DM,01BR043,197803200,197803200,141,28048503289,28048503289,27821068993,27821068993,27257777651,27257777651,41558955054,41558955054
Normal,329_DN,01BR043,193560166,193560166,141,27371949150,27371949150,27147802917,27147802917,26656143105,26656143105,40581030077,40581030077
Tumor,330_DM,05BR042,207373740,207373740,132,27559200028,27559200028,27305455691,27305455691,26609962381,26609962381,40731411040,40731411040
Normal,330_DN,05BR042,211432500,211432500,131,27858623333,27858623333,27578573899,27578573899,26903992722,26903992722,41165228367,41165228367
Tumor,331_DM,05BR043,216529232,216529232,137,29852377410,29852377410,29524258056,29524258056,28991387747,28991387747,44176952802,44176952802
Normal,331_DN,05BR043,234312784,234312784,133,31299796599,31299796599,30985821293,30985821293,30218420252,30218420252,46244940326,46244940326
Tumor,332_DM,05BR044,195880118,195880118,140,27574667344,27574667344,27337220114,27337220114,26783793109,26783793109,40841134429,40841134429
Normal,332_DN,05BR044,199860284,199860284,140,28050895854,28050895854,27831978139,27831978139,27272598884,27272598884,41570883775,41570883775
Tumor,333_DM,05BR045,216639956,216639956,138,30108058884,30108058884,29789873555,29789873555,29139399005,29139399005,44511953126,44511953126
Normal,333_DN,05BR045,192763888,192763888,138,26664160514,26664160514,26402328431,26402328431,25837559369,25837559369,39446881062,39446881062
Tumor,334_DM,CPT000814,194640380,194640380,138,26919604099,26919604099,26626793547,26626793547,26083606189,26083606189,39809215037,39809215037
Normal,334_DN,CPT000814,203759276,203759276,133,27185983449,27185983449,26902597080,26902597080,26306228918,26306228918,40191680946,40191680946
Tumor,345-DM,01BR009,204731540,204731540,137,28099180056,28099180056,27871393361,27871393361,26836563555,26836563555,41401335369,41401335369
Normal,345-DN,01BR009,203397356,203397356,135,27640964839,27640964839,27440663353,27440663353,26425987697,26425987697,40750660505,40750660505
Tumor,346-DM,05BR004,207662560,207662560,139,28873073807,28873073807,28684344275,28684344275,27923246855,27923246855,42735628135,42735628135
Normal,346-DN,05BR004,192642464,192642464,137,26429483956,26429483956,26199504129,26199504129,25238230896,25238230896,38930723667,38930723667
Tumor,347-DM,03BR006,174579494,174579494,138,24225659281,24225659281,24073626424,24073626424,23435198187,23435198187,35864364846,35864364846
