Case,Tissue Type,Sample Aliquot ID,Uniquely mapped reads number,Uniquely mapped reads %,% of reads mapped to multiple loci,% of reads mapped to too many loci,% of reads unmapped: other,% of reads unmapped: too short,Insertion rate per base,"Mismatch rate per base, %",Number of input reads,Number of reads mapped to multiple loci,Number of reads mapped to too many loci,Number of splices: Total
C3L-00079,Solid Tissue Normal,52937cb2-3c89-467e-9e4e-d8116146ff68,81616899.0,92.62,5.72,0.39,0.11,1.15,0.01,0.21,88116788.0,5042132.0,345463.0,19076263.0
C3N-01522,Primary Tumor,e2da7550-76d7-497c-b6ca-e6966d7a6340,74301293.0,89.31,5.98,0.51,0.1,4.1,0.01,0.18,83191246.0,4971220.0,423839.0,19819552.0
C3N-01522,Solid Tissue Normal,6bf0111d-3285-4ee7-a948-72ddfec8b7ad,84074316.0,93.68,4.85,0.28,0.11,1.08,0.01,0.2,89747667.0,4350937.0,251558.0,18266694.0
C3L-00079,Primary Tumor,98367696-9771-4a1d-af62-4e7bbe356ce8,80042049.0,87.54,7.06,0.46,0.09,4.85,0.01,0.19,91434584.0,6452855.0,424799.0,21358754.0
C3N-01220,Solid Tissue Normal,51bf5d7e-a9fd-45e0-b91a-52a34369eddb,97896341.0,92.64,5.96,0.25,0.1,1.05,0.01,0.21,105672171.0,6293032.0,263893.0,23606249.0
C3N-01220,Primary Tumor,fd755eae-52b1-40df-99b9-d822ac89dfb8,78763617.0,91.35,7.25,0.28,0.1,1.03,0.01,0.23,86223626.0,6247725.0,240898.0,21915679.0
C3L-00910,Primary Tumor,c1279fe0-477e-4cd6-a74b-8bafe92fa5ac,109979898.0,90.95,7.3,0.54,0.11,1.1,0.01,0.18,120919039.0,8829326.0,651301.0,27292882.0
C3L-01283,Primary Tumor,f2f944fa-496c-4caa-a09f-b9f4f91a264e,83601801.0,90.18,7.18,0.42,0.12,2.11,0.01,0.19,92703713.0,6654209.0,385209.0,18530302.0
C3L-00813,Primary Tumor,96e347cf-b5c6-46af-a8c6-8ffc8cb0288e,82276928.0,90.26,7.56,0.67,0.1,1.41,0.0,0.21,91155907.0,6887066.0,613256.0,23195888.0
C3L-01560,Primary Tumor,3d506b8a-4f54-46eb-b3d6-6a793bec1640,105117349.0,91.68,7.04,0.43,0.11,0.75,0.01,0.22,114653715.0,8067102.0,488944.0,24468324.0
C3L-01557,Primary Tumor,e411f73b-a242-423c-84bd-922e951d45c6,91282720.0,93.03,5.7,0.41,0.16,0.7,0.01,0.22,98126855.0,5595627.0,406339.0,23242217.0
C3L-00799,Primary Tumor,b97d1a52-3605-4daa-a7fa-247b05699086,91728902.0,90.98,6.93,0.38,0.11,1.6,0.01,0.2,100822494.0,6987318.0,378863.0,22354632.0
C3L-00796,Primary Tumor,7d00c1eb-9dc9-430a-93e6-dcef4d869fca,81361422.0,93.26,5.7,0.26,0.11,0.66,0.01,0.19,87238375.0,4972432.0,229476.0,19053325.0
C3L-00792,Primary Tumor,91926337-d909-4f0a-8631-204cb3371bb7,100152659.0,90.58,7.5,0.34,0.11,1.46,0.01,0.22,110565162.0,8294026.0,379347.0,23784896.0
C3L-01288,Primary Tumor,45d65852-13f3-4d05-99f0-a18e9c9174c7,121696970.0,94.66,4.08,0.18,0.11,0.97,0.01,0.21,128565063.0,5245839.0,234491.0,25824852.0
C3L-00766,Primary Tumor,ec13b3c7-3d76-44fd-985d-de6545a78064,100236574.0,92.69,5.97,0.31,0.11,0.91,0.01,0.22,108136131.0,6454140.0,337128.0,21977475.0
C3L-00610,Primary Tumor,a326b125-78d5-4634-bab5-2fe733b4d68e,82488783.0,89.63,8.64,0.39,0.1,1.24,0.0,0.22,92032811.0,7953479.0,355234.0,19755344.0
C3L-00800,Primary Tumor,244f0e46-7475-4cfb-a38c-002a96971108,100994222.0,92.11,6.03,0.34,0.12,1.4,0.01,0.2,109649173.0,6616290.0,377793.0,23212736.0
C3N-00154,Primary Tumor,8a3f963a-7409-4b08-ac27-23983fc4566b,84044619.0,92.71,5.76,0.27,0.13,1.13,0.01,0.25,90652218.0,5217473.0,247000.0,18465659.0
