Case,Sample Aliquot,Bam File,Total Reads,Proper Mapped Reads,Coverage,Cov_100x,Template Mean,Template SD
C3L-00418,CPT0002730002,CPT0002730002-wxs,257155120.0,0.96,153.58,0.83,,
C3L-00447,CPT0002760002,CPT0002760002-wgs,461894806.0,0.89,19.94,,387.74,120.05
C3L-00447,CPT0002760002,CPT0002760002-wxs,250107519.0,0.96,151.18,0.81,,
C3L-00581,CPT0002780002,CPT0002780002-wgs,429920388.0,0.88,17.73,,396.92,110.45
C3L-00581,CPT0002780002,CPT0002780002-wxs,260009014.0,0.95,152.03,0.79,,
C3L-00910,CPT0002930002,CPT0002930002-wgs,379295022.0,0.89,15.84,,364.79,113.02
C3L-00910,CPT0002930002,CPT0002930002-wxs,333119699.0,0.96,188.97,0.91,,
C3L-00103,CPT0003850002,CPT0003850002-wgs,517208047.0,0.89,21.44,,365.95,110.3
C3L-00103,CPT0003850002,CPT0003850002-wxs,237274252.0,0.95,142.56,0.78,,
C3L-00088,CPT0003890002,CPT0003890002-wgs,806159158.0,0.87,34.58,,382.29,111.12
C3L-00088,CPT0003890002,CPT0003890002-wxs,418516775.0,0.97,212.93,0.91,,
C3L-00097,CPT0003920002,CPT0003920002-wgs,884374095.0,0.88,37.64,,362.37,104.77
C3L-00097,CPT0003920002,CPT0003920002-wxs,291115175.0,0.96,160.45,0.82,,
C3L-00359,CPT0004370002,CPT0004370002-wgs,372167086.0,0.89,16.05,,372.39,110.16
C3L-00359,CPT0004370002,CPT0004370002-wxs,286444580.0,0.96,158.37,0.84,,
C3L-00360,CPT0004380002,CPT0004380002-wgs,496515000.0,0.84,20.46,,373.39,107.39
C3L-00360,CPT0004380002,CPT0004380002-wxs,414541017.0,0.95,185.34,0.87,,
C3L-00369,CPT0006440009,CPT0006440009-wgs,399051851.0,0.91,17.46,,338.32,96.97
C3L-00369,CPT0006440009,CPT0006440009-wxs,598248576.0,0.92,159.92,0.57,,
C3L-00418,CPT0006630009,CPT0006630009-wgs,465366125.0,0.91,20.3,,349.96,108.41
C3L-00418,CPT0006630009,CPT0006630009-wxs,247450403.0,0.97,163.22,0.84,,
